UNIT FILE                                  STATE           VENDOR PRESET
systemd-networkd.service                   disabled        enabled
systemd-poweroff.service                   static          -
systemd-pstore.service                     enabled         enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime disabled
systemd-resolved.service                   disabled        enabled
systemd-rfkill.service                     static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysusers.service                   static          -
systemd-time-wait-sync.service             disabled        disabled
systemd-timedated.service                  static          -
systemd-timesyncd.service                  masked          enabled
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-volatile-root.service              static          -
udev.service                               alias           -
udisks2.service                            disabled        disabled
upower.service                             disabled        disabled
usb_modeswitch@.service                    static          -
usbmuxd.service                            static          -
user-runtime-dir@.service                  static          -
user@.service                              static          -
uuidd.service                              indirect        disabled
vgauth.service                             disabled        disabled
virtualbox-guest-utils.service             enabled         enabled
vmtoolsd.service                           alias           -
vpnc@.service                              disabled        disabled
wacom-inputattach@.service                 static          -
wpa_supplicant-nl80211@.service            disabled        disabled
wpa_supplicant-wired@.service              disabled        disabled
wpa_supplicant.service                     disabled        disabled
wpa_supplicant@.service                    disabled        disabled
x11-common.service                         masked          disabled
xl2tpd.service                             generated       -
xrdp-sesman.service                        disabled        disabled
xrdp.service                               disabled        disabled

241 unit files listed.
